1;23110000                   
2;23570000                   
3;24010000                   
4;25290000                   
5;28530000                   
6;36410000                   
7;55770000                   
8;73150000                   
9;73470000                   
10;73770000                   
11;74090000                   
12;75050000                   
13;76690000                   
14;79490000                   
15;84870000                   
16;95750000                   
17;114850000                  
