1;8070000                    
2;13190000                   
3;18310000                   
4;23430000                   
5;28550000                   
6;33670000                   
7;38790000                   
8;43910000                   
9;49030000                   
10;54150000                   
11;59270000                   
12;64390000                   
13;69510000                   
14;74630000                   
15;79750000                   
16;84870000                   
17;89990000                   
18;95110000                   
19;100230000                  
20;105350000                  
21;110470000                  
22;115590000                  
23;120710000                  
24;125830000                  
25;130950000                  
26;136070000                  
27;141190000                  
28;146310000                  
29;151430000                  
30;156550000                  
31;161670000                  
32;166790000                  
33;171910000                  
34;177030000                  
35;182150000                  
36;187270000                  
37;192390000                  
38;197510000                  
39;202630000                  
40;207750000                  
41;212870000                  
42;217990000                  
43;223110000                  
44;228230000                  
45;233350000                  
46;238470000                  
47;243590000                  
48;248710000                  
49;253830000                  
50;258950000                  
51;264070000                  
52;269190000                  
53;274310000                  
54;279430000                  
55;284550000                  
56;289670000                  
57;294790000                  
58;299910000                  
59;305030000                  
60;310150000                  
61;315270000                  
62;320390000                  
63;325510000                  
64;330630000                  
65;335750000                  
66;340870000                  
67;345990000                  
68;351110000                  
69;356230000                  
70;361350000                  
71;366470000                  
72;371590000                  
73;376710000                  
74;381830000                  
75;386950000                  
76;392070000                  
77;397190000                  
78;402310000                  
79;407430000                  
80;412550000                  
81;417670000                  
82;422790000                  
83;427910000                  
84;433030000                  
85;438150000                  
86;443270000                  
87;448390000                  
88;453510000                  
89;458630000                  
90;463750000                  
91;468870000                  
92;473990000                  
93;479110000                  
94;484230000                  
95;489350000                  
96;494470000                  
97;499590000                  
98;504710000                  
99;508150000                  
100;518390000                  
101;528630000                  
102;538870000                  
103;549110000                  
104;559350000                  
105;569590000                  
106;579830000                  
107;590070000                  
108;600310000                  
109;610550000                  
110;620790000                  
111;631030000                  
112;641270000                  
113;651510000                  
114;661750000                  
115;671990000                  
116;682230000                  
117;692470000                  
118;702710000                  
119;712950000                  
120;723190000                  
121;733430000                  
122;743670000                  
123;753910000                  
124;764150000                  
125;774390000                  
126;784630000                  
127;794870000                  
128;805110000                  
129;815350000                  
130;825590000                  
131;835830000                  
132;846070000                  
133;856310000                  
134;866550000                  
135;876790000                  
136;887030000                  
137;897270000                  
138;907510000                  
139;917750000                  
140;927990000                  
141;938230000                  
142;948470000                  
143;958710000                  
144;968950000                  
145;979190000                  
146;989430000                  
147;999670000                  
148;1008230000                 
149;1023590000                 
150;1038950000                 
151;1054310000                 
152;1069670000                 
153;1085030000                 
154;1100390000                 
155;1115750000                 
156;1131110000                 
157;1146470000                 
158;1161830000                 
159;1177190000                 
160;1192550000                 
161;1207910000                 
162;1223270000                 
163;1238630000                 
164;1253990000                 
165;1269350000                 
166;1284710000                 
167;1300070000                 
168;1315430000                 
169;1330790000                 
170;1346150000                 
171;1361510000                 
172;1376870000                 
173;1392230000                 
174;1407590000                 
175;1422950000                 
176;1438310000                 
177;1453670000                 
178;1469030000                 
179;1484390000                 
180;1499750000                 
181;1508310000                 
182;1528790000                 
183;1549270000                 
184;1569750000                 
185;1590230000                 
186;1610710000                 
187;1631190000                 
188;1651670000                 
189;1672150000                 
190;1692630000                 
191;1713110000                 
192;1733590000                 
193;1754070000                 
194;1774550000                 
195;1795030000                 
196;1815510000                 
197;1835990000                 
198;1856470000                 
199;1876950000                 
200;1897430000                 
201;1917910000                 
202;1938390000                 
203;1958870000                 
204;1979350000                 
205;1999830000                 
206;2008390000                 
207;2033990000                 
208;2059590000                 
209;2085190000                 
210;2110790000                 
211;2136390000                 
212;2161990000                 
213;2187590000                 
214;2213190000                 
215;2238790000                 
216;2264390000                 
217;2289990000                 
218;2315590000                 
219;2341190000                 
220;2366790000                 
221;2392390000                 
222;2417990000                 
223;2443590000                 
224;2469190000                 
225;2494790000                 
226;2508470000                 
227;2539190000                 
228;2569910000                 
229;2600630000                 
230;2631350000                 
231;2662070000                 
232;2692790000                 
233;2723510000                 
234;2754230000                 
235;2784950000                 
236;2815670000                 
237;2846390000                 
238;2877110000                 
239;2907830000                 
240;2938550000                 
241;2969270000                 
242;2999990000                 
243;3008550000                 
244;3044390000                 
245;3080230000                 
246;3116070000                 
247;3151910000                 
248;3187750000                 
249;3223590000                 
250;3259430000                 
251;3295270000                 
252;3331110000                 
253;3366950000                 
254;3402790000                 
255;3438630000                 
256;3474470000                 
257;3508630000                 
258;3549590000                 
259;3590550000                 
260;3631510000                 
261;3672470000                 
262;3713430000                 
263;3754390000                 
264;3795350000                 
265;3836310000                 
266;3877270000                 
267;3918230000                 
268;3959190000                 
269;4000150000                 
270;4008710000                 
271;4054790000                 
272;4100870000                 
273;4146950000                 
274;4193030000                 
275;4239110000                 
276;4285190000                 
277;4331270000                 
278;4377350000                 
279;4423430000                 
280;4469510000                 
281;4508790000                 
282;4559990000                 
283;4611190000                 
284;4662390000                 
285;4713590000                 
286;4764790000                 
287;4815990000                 
288;4867190000                 
289;4918390000                 
290;4969590000                 
291;5008870000                 
292;5065190000                 
293;5121510000                 
294;5177830000                 
295;5234150000                 
296;5290470000                 
297;5346790000                 
298;5403110000                 
299;5459430000                 
300;5508950000                 
301;5570390000                 
302;5631830000                 
303;5693270000                 
304;5754710000                 
305;5816150000                 
306;5877590000                 
307;5939030000                 
308;6000470000                 
309;6009030000                 
310;6075590000                 
311;6142150000                 
312;6208710000                 
313;6275270000                 
314;6341830000                 
315;6408390000                 
316;6474950000                 
317;6509110000                 
318;6580790000                 
319;6652470000                 
320;6724150000                 
321;6795830000                 
322;6867510000                 
323;6939190000                 
324;7009190000                 
325;7085990000                 
326;7162790000                 
327;7239590000                 
